gender,senior,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,churn,avg_monthly_charges,internet_service-fiber_optic,internet_service-no,contract-one_year,contract-two_year,payment_method-credit_card_auto,payment_method-electronic_check,payment_method-mailed_check
1,0,1,0,1,0,0,0,1,0,0,0,0,1,29.85,29.85,0,29.85,0,0,0,0,0,1,0
0,0,0,0,34,1,0,1,0,1,0,0,0,0,56.95,1889.5,0,55.5735294117647,0,0,1,0,0,0,1
0,0,0,0,2,1,0,1,1,0,0,0,0,1,53.85,108.15,1,54.075,0,0,0,0,0,0,1
0,0,0,0,45,0,0,1,0,1,1,0,0,0,42.3,1840.75,0,40.90555555555556,0,0,1,0,0,0,0
1,0,0,0,2,1,0,0,0,0,0,0,0,1,70.7,151.65,1,75.825,1,0,0,0,0,1,0
1,0,0,0,8,1,1,0,0,1,0,1,1,1,99.65,820.5,1,102.5625,1,0,0,0,0,1,0
0,0,0,1,22,1,1,0,1,0,0,1,0,1,89.1,1949.4,0,88.60909090909091,1,0,0,0,1,0,0
1,0,0,0,10,0,0,1,0,0,0,0,0,0,29.75,301.9,0,30.189999999999998,0,0,0,0,0,0,1
1,0,1,0,28,1,1,0,0,1,1,1,1,1,104.8,3046.05,1,108.78750000000001,1,0,0,0,0,1,0
0,0,0,1,62,1,0,1,1,0,0,0,0,0,56.15,3487.95,0,56.25725806451613,0,0,1,0,0,0,0
0,0,1,1,13,1,0,1,0,0,0,0,0,1,49.95,587.45,0,45.18846153846154,0,0,0,0,0,0,1
0,0,0,0,16,1,0,0,0,0,0,0,0,0,18.95,326.8,0,20.425,0,1,0,1,1,0,0
0,0,1,0,58,1,1,0,0,1,0,1,1,0,100.35,5681.1,0,97.95,1,0,1,0,1,0,0
0,0,0,0,49,1,1,0,1,1,0,1,1,1,103.7,5036.3,1,102.78163265306122,1,0,0,0,0,0,0
0,0,0,0,25,1,0,1,0,1,1,1,1,1,105.5,2686.05,0,107.44200000000001,1,0,0,0,0,1,0
1,0,1,1,69,1,1,1,1,1,1,1,1,0,113.25,7895.15,0,114.42246376811593,1,0,0,1,1,0,0
1,0,0,0,52,1,0,0,0,0,0,0,0,0,20.65,1022.95,0,19.672115384615385,0,1,1,0,0,0,1
0,0,0,1,71,1,1,1,0,1,0,1,1,0,106.7,7382.25,0,103.97535211267606,1,0,0,1,0,0,0
1,0,1,1,10,1,0,0,0,1,1,0,0,0,55.2,528.35,1,52.835,0,0,0,0,1,0,0
1,0,0,0,21,1,0,0,1,1,0,0,1,1,90.05,1862.9,0,88.70952380952382,1,0,0,0,0,1,0
0,1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,39.65,1,39.65,0,0,0,0,0,1,0
0,0,1,0,12,1,0,0,0,0,0,0,0,0,19.8,202.25,0,16.854166666666668,0,1,1,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,20.15,20.15,1,20.15,0,1,0,0,0,0,1
1,0,1,0,58,1,1,0,1,0,1,0,0,1,59.9,3505.1,0,60.432758620689654,0,0,0,1,1,0,0
0,0,1,1,49,1,0,1,1,0,1,0,0,0,59.6,2970.3,0,60.61836734693878,0,0,0,0,1,0,0
1,0,0,0,30,1,0,1,1,0,0,0,0,1,55.3,1530.6,0,51.019999999999996,0,0,0,0,0,0,0
0,0,1,1,47,1,1,0,1,0,0,1,1,1,99.35,4749.15,1,101.04574468085106,1,0,0,0,0,1,0
0,0,1,1,1,0,0,0,1,0,0,0,0,0,30.2,30.2,1,30.2,0,0,0,0,0,1,0
0,0,1,0,72,1,1,1,1,1,1,1,1,1,90.25,6369.45,0,88.46458333333334,0,0,0,1,1,0,0
1,0,0,1,17,1,0,0,0,0,0,1,1,1,64.7,1093.1,1,64.3,0,0,0,0,0,0,1
1,1,1,0,71,1,1,1,1,1,1,0,0,1,96.35,6766.95,0,95.30915492957746,1,0,0,1,1,0,0
0,1,1,0,2,1,0,0,0,1,0,1,1,1,95.5,181.65,0,90.825,1,0,0,0,1,0,0
1,0,1,1,27,1,0,1,1,1,1,0,0,0,66.15,1874.45,0,69.42407407407407,0,0,1,0,0,0,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,20.2,0,1,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,0,0,0,45.25,45.25,0,45.25,0,0,0,0,0,0,0
1,0,1,1,72,1,1,1,1,0,1,1,0,0,99.9,7251.7,0,100.71805555555555,1,0,0,1,0,0,0
0,0,0,0,5,1,0,0,0,0,0,0,0,1,69.7,316.9,1,63.379999999999995,1,0,0,0,0,1,0
1,0,0,0,46,1,0,0,0,1,0,0,0,1,74.8,3548.3,0,77.13695652173914,1,0,0,0,1,0,0
0,0,0,0,34,1,1,0,1,1,0,1,1,1,106.35,3549.25,1,104.38970588235294,1,0,0,0,0,1,0
1,0,0,0,11,1,1,0,0,1,0,1,1,1,97.85,1105.4,1,100.4909090909091,1,0,0,0,0,0,0
0,0,1,1,10,1,0,0,1,0,0,0,0,0,49.55,475.7,0,47.57,0,0,1,0,0,0,1
1,0,1,1,70,1,1,1,1,0,0,1,0,1,69.2,4872.35,0,69.605,0,0,0,1,1,0,0
1,0,1,1,17,1,0,0,0,0,0,0,0,0,20.75,418.25,0,24.602941176470587,0,1,1,0,0,0,1
1,0,0,0,63,1,1,1,1,1,1,1,0,1,79.85,4861.45,0,77.16587301587302,0,0,0,1,1,0,0
1,0,1,0,13,1,1,1,1,0,1,1,0,1,76.2,981.45,0,75.49615384615385,0,0,0,0,0,1,0
1,0,0,0,49,1,1,0,0,0,0,0,1,1,84.5,3906.7,0,79.72857142857143,1,0,0,0,0,1,0
0,0,0,0,2,1,0,0,1,0,0,0,0,0,49.25,97.0,0,48.5,0,0,0,0,0,0,1
1,0,0,0,2,1,0,0,0,0,0,1,0,1,80.65,144.15,1,72.075,1,0,0,0,0,1,0
0,0,0,0,52,1,1,1,0,0,1,1,1,1,79.75,4217.8,0,81.11153846153846,0,0,0,1,1,0,0
1,0,1,1,69,1,1,1,0,1,1,0,0,1,64.15,4254.1,0,61.6536231884058,0,0,0,1,1,0,0
1,1,0,0,43,1,1,0,1,0,0,1,0,1,90.25,3838.75,0,89.27325581395348,1,0,0,0,0,1,0
1,0,0,0,15,1,0,1,1,0,0,1,1,1,99.1,1426.4,1,95.09333333333333,1,0,0,0,1,0,0
1,1,1,0,25,1,1,1,0,0,1,1,0,1,69.5,1752.65,0,70.10600000000001,0,0,0,0,1,0,0
1,1,1,0,8,1,1,0,1,0,0,0,0,1,80.65,633.3,1,79.1625,1,0,0,0,1,0,0
1,1,1,1,60,1,0,1,1,1,1,0,1,1,74.85,4456.35,0,74.27250000000001,0,0,1,0,1,0,0
0,1,0,0,18,1,1,0,0,0,0,1,1,1,95.45,1752.55,1,97.36388888888888,1,0,0,0,0,1,0
1,0,1,1,63,1,1,1,0,0,0,1,1,1,99.65,6311.2,0,100.17777777777778,1,0,1,0,1,0,0
0,1,1,1,66,1,1,0,1,1,1,1,1,1,108.45,7076.35,0,107.21742424242424,1,0,1,0,0,1,0
1,0,1,1,34,1,1,0,0,0,0,0,0,0,24.95,894.3,0,26.302941176470586,0,1,0,1,1,0,0
1,0,0,0,72,1,1,0,0,1,1,1,1,1,107.5,7853.7,0,109.07916666666667,1,0,0,1,1,0,0
1,0,1,0,47,1,1,0,0,1,0,1,1,1,100.5,4707.1,0,100.15106382978725,1,0,0,0,0,1,0
0,0,0,0,60,1,1,0,1,0,0,1,0,1,89.9,5450.7,0,90.845,1,0,0,0,0,0,0
0,0,1,0,72,0,0,1,1,1,0,0,0,0,42.1,2962.0,0,41.138888888888886,0,0,0,1,0,0,0
